2020 Unofficial General Election Results,,,,,
City of Philadelphia,,,,,
Divisions 1703 of 1703 Reporting,,,,,
Downloaded at 11/10/2020 5:15:35 PM,,,,,
,,,,,
,,,,,
PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES<br/>(VOTE FOR 1),Ward-Division,JOSEPH R BIDEN AND KAMALA D HARRIS,DONALD J TRUMP AND MICHAEL R PENCE,JO JORGENSEN AND JEREMY SPIKE COHEN,Write-in
,39-13,304,101,0,2
,39-14,106,203,3,0
,39-15,252,294,4,1
,39-16,143,85,0,1
,39-17,187,88,0,1
,39-18,105,73,2,0
,39-19,201,57,0,1
,39-20,257,247,4,1
,39-21,185,283,9,1
,39-22,249,150,6,3
,39-23,166,51,2,3
,39-24,378,169,4,0
,39-25,254,233,4,0
,39-26,423,125,5,4
,39-27,355,123,4,0
,39-28,416,52,3,0
,39-29,155,190,2,1
,39-30,428,121,3,1
,39-31,229,193,2,2
,39-32,272,86,1,3
,39-33,166,174,0,0
,39-34,182,102,2,0
,39-35,403,154,6,1
,39-36,168,299,3,0
,39-37,326,199,6,1
,39-38,292,133,4,1
,39-39,212,207,3,0
,39-40,235,66,5,0
,39-41,177,282,2,3
,39-42,197,152,3,2
,39-43,191,186,1,0
,39-44,217,193,5,1
,39-45,476,180,2,3
,39-46,485,163,3,0
,40-01,235,52,0,1
,40-02,302,9,0,0
,40-03,481,14,1,0
,40-04,369,12,3,2
,40-05,454,18,1,2
,40-06,292,23,1,2
,40-07,402,10,3,0
,40-08,245,9,0,0
,40-09,374,17,1,0
,40-10,210,23,0,1
,40-11,270,34,1,1
,40-12,289,19,1,1
,40-13,368,20,0,0
,40-14,402,34,4,0
,40-15,216,29,0,1
,40-16,346,23,3,1
,40-17,265,29,0,2
,40-18,267,19,1,0
,40-19,277,62,1,0
,40-20,178,21,1,0
,40-21,214,46,2,0
,40-22,255,13,0,0
,40-23,330,30,3,0
,40-24,458,33,2,1
,40-25,344,45,2,1
,40-26,245,21,2,1
,40-27,260,10,2,0
,40-28,506,70,2,0
,40-29,365,18,3,0
,40-30,387,23,1,0
,40-31,346,24,0,1
,40-32,400,39,3,1
,40-33,234,24,0,2
,40-34,188,16,1,0
,40-35,375,43,0,0
,40-36,349,20,2,0
,40-37,533,62,2,0
,40-38,526,30,2,2
,40-39,324,15,1,0
,40-40,590,30,2,0
,40-41,296,30,0,0
,40-42,399,41,3,1
,40-43,275,42,0,1
